hora pedido;mesa;accion;id;plato;precio;estado;hora cierre
2025-03-01 22:59:01;2;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-02 00:13:01
2025-03-01 22:59:01;2;Agregar;9;Ensalada César;10500;cerrada;2025-03-02 00:13:01
2025-03-01 22:59:01;2;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-02 00:13:01
2025-03-01 22:59:01;2;Agregar;15;Cerveza Artesanal;5000;cerrada;2025-03-02 00:13:01
2025-03-01 22:39:01;13;Agregar;2;Bruschetta Tradicional;6000;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;7;Pasta Alfredo;10000;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;9;Ensalada César;10500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;9;Ensalada César;10500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;11;Limonada Natural;3500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;13;Batido de Frutas;3000;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;16;Tiramisú Clásico;4500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;17;Brownie de Chocolate;5000;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;20;Helado Artesanal;4500;cerrada;2025-03-02 00:07:01
2025-03-01 22:39:01;13;Agregar;18;Cheesecake de Frutas;5500;cerrada;2025-03-02 00:07:01
2025-03-01 22:50:01;4;Agregar;7;Pasta Alfredo;10000;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;6;Filete de Res al Grill;12000;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;11;Limonada Natural;3500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;14;Infusión de Hierbas;2500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;16;Tiramisú Clásico;4500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;18;Cheesecake de Frutas;5500;cerrada;2025-03-01 23:24:01
2025-03-01 22:50:01;4;Agregar;16;Tiramisú Clásico;4500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;3;Rollitos de Primavera;5500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;5;Sopa de Tomate Asado;6500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;9;Ensalada César;10500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;8;Salmón Teriyaki;11500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;12;Mojito Clásico;4500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;14;Infusión de Hierbas;2500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;15;Cerveza Artesanal;5000;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;14;Infusión de Hierbas;2500;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;19;Flan Casero;4000;cerrada;2025-03-01 23:24:01
2025-03-01 22:15:01;4;Agregar;18;Cheesecake de Frutas;5500;cerrada;2025-03-01 23:24:01
